occurred_at,amount,currency,description,category
2026-06-02,6000.00,MDL,rent july,housing
2026-06-03,412.50,MDL,linella,groceries
2026-06-04,78.00,MDL,shaorma andys,eating-out
2026-06-05,900.00,MDL,petrol,transport
2026-06-06,9.99,EUR,netflix,subscriptions
2026-06-07,245.00,MDL,pharmacy,health
2026-06-08,48.00,MDL,bread and milk,groceries
2026-06-09,110.00,MDL,taxi home,transport
2026-06-10,45.00,MDL,cofee,eating-out
2026-06-11,480.00,MDL,electricity,housing
2026-06-12,1890.00,MDL,sneakers,shopping
2026-06-13,150.00,MDL,cinema,leisure
2026-06-14,35.00,MDL,transfer fee,fees
2026-06-15,175.00,MDL,central market veg,groceries
2026-06-16,200.00,MDL,haircut,other
2026-06-17,1800.00,MDL,dentist filling,health
2026-06-18,120.00,MDL,lunch at work,eating-out
2026-06-19,6.00,MDL,trolleybus,transport
2026-06-20,320.00,MDL,water and sewage,housing
2026-06-22,200.00,MDL,mobile top up,subscriptions
2026-06-24,685.00,MDL,kaufland,groceries
2026-06-25,118.00,EUR,tickets to bucharest,leisure
2026-06-26,1200.00,MDL,present for mum,gifts
2026-06-28,96.00,EUR,hotel 2 nights,leisure
2026-06-30,300.00,MDL,starnet internet,housing
2026-07-02,240.00,MDL,beers with the guys,eating-out
2026-07-03,89.00,MDL,felicia pharmacy,health
2026-07-05,320.00,MDL,coffee beans 1kg,groceries
2026-07-06,10.00,USD,github copilot,subscriptions
2026-07-08,400.00,MDL,parking fine,fees
2026-07-09,1450.00,MDL,headphones,shopping
2026-07-11,263.00,MDL,fidesco,groceries
2026-07-12,385.00,MDL,la placinte,eating-out
2026-07-13,220.00,MDL,book,leisure
2026-07-15,1250.00,MDL,oil change,transport
2026-07-16,250.00,MDL,flowers,gifts
2026-07-18,189.00,MDL,laundry powder,groceries
2026-07-19,180.00,MDL,dry cleaning,other
2026-07-21,550.00,MDL,gym month,subscriptions
2026-07-22,290.00,MDL,pizza delivery,eating-out
2026-07-24,560.00,MDL,blood tests,health
2026-07-26,350.00,MDL,t-shirt,shopping
2026-07-28,20.00,MDL,parking mall,transport
2026-07-30,210.00,MDL,gas bill,housing
2026-08-01,480.00,MDL,board game,leisure
2026-08-03,42.00,MDL,nr1 water 6l,groceries
2026-08-05,3100.00,MDL,car insurance,transport
2026-08-07,640.00,MDL,desk lamp,shopping
2026-08-09,165.00,MDL,breakfast at cafe,eating-out
2026-08-11,300.00,MDL,shelter donation,gifts
2026-08-13,60.00,MDL,card maintenance,fees
2026-08-16,890.00,MDL,kettle,shopping
2026-08-20,95.00,MDL,parcel by post,other
